ID,ProfileName,Date,Review,Rating,Helpful,Colour
R3TXG6YE9G2JU0,nandani,21-12-20,Sound quality More than expected awesome speaker,5,80,Blue
R12YVPWWVBD0FI,Salman khan,27-12-20,A good speaker to play your music Playlist with a good voice clarity.,5,78,Black
R2LI96EMJPM7I9,Kuldeep Singh,05-03-21,Waterproof,5,49,Black
R13DXHTESIF6V2,Alex,07-10-21,Paisa Wasul !!,5,16,Red
R2ZYV24XX6J5EW,Aniket,10-10-21,Just go for it its pocket rocket speaker 🔊 doesn't feel cheap bass is good enough for room,5,5,Red
R2JZ54VATXL05F,Mohit R. Anand,30-09-21,Amazing product. Paisa wasool,5,4,Blue
RIGBRXJO5XSP8,Tubai,14-10-21,GO FOR IT...,5,3,Red
R288DH3ZNK2VU9,Souradip Dasgupta,01-10-21,Nice good speaker,5,3,Blue
RSGS4UQZ2FUZY,Paras,23-12-20,Need to improve packaging,5,3,Red
R30R9V6A954FXP,Nikita Asukar,30-01-21,Good service,5,2,Black
R2F2XWNYCQCDHS,ashpra,07-11-21,Wonder product,5,1,Blue
RB8GE1Q0BD4II,Amazon Customer,17-11-21,Awesome purchase,5,1,Blue
R1V2NZWTYEHE7G,Ebenezer Isaac,08-09-21,Best for value,5,1,Blue
RVWRO6UZ7AA4S,Alok Das,19-03-21,Worth it and value for money 💰take it during sale,5,1,Black
R92TM8KSTCAMA,tushar gangarde,24-09-21,AWASOME 🤩,5,1,Black
R15ZOLPNBIFVJU,Siddharth parmar,15-02-22,Awesome product,5,1,Black
R2KIKIULKJP89T,Amazon Customer,24-02-21,The best affordable speaker,5,1,Black
R3F95X03KWX3W5,Kaushik Sarkar,28-01-22,Excellent,5,1,Black
R376L8HZ4POW3R,K S Maheshkumar,29-09-21,Best product in this price,5,1,Red
R3I49MXNUE5M4W,Jai singh,23-09-21,Nice thanks for giving me 😘😘😘😘😘😘,5,1,Blue
R39Y8703T8BHLZ,smit,20-09-21,Awesome 😎,5,1,Black
R1DFFNV9KMFVSJ,parveen,28-12-20,Very nice products,5,1,Red
R1WP1DSYK0HTOA,lubna siddiqui,16-11-21,Honest review,5,1,Black
R2J9LC1W02DXIT,Karunakar,27-01-21,Awesome as per price,5,1,Red
R11G5R68P5WCKN,Chauhan Harshil,19-12-21,It is very good product and come with a budget,5,0,Black
R1NJU0AAZLFM21,Janamejaya,09-01-22,Packs a punch,5,0,Black
R16F9TG57C2JBP,Charvie Verma,26-01-22,Must buy,5,0,Blue
R2KRL36YDBTTD1,Partha Pratim Das,25-12-21,Fantastic Speaker,5,0,Red
R2WGQGG5RC80DZ,shridhar,17-02-22,Must buy if you ears are in pain,5,0,Red
RPVLYDV75C4GQ,Ashish M.,19-10-21,Value for money...!!!,5,0,Black
R3OOQGFKVF5M68,Bhawana goel,20-01-22,PROS & CONS,5,0,Blue
RQ22D8XMP07IN,Jojo,20-10-21,Awesome,5,0,Red
R2J071U54VNJC5,Harsha sree Degala,14-12-21,Best one,5,0,Black
R29QJXRVIDBDS2,Susheta Das,18-11-21,Fab for a budget friendly speaker!,5,0,Red
